ITA,BS,CATEGORY
arrotino,molèta,
arrotolare,ëmbirolà,
arrotolare,ëmbirolà sö,
arrovellarsi,cuà argót,
arroventato,ënfugàt,
arroventato,fughènt,
arroventato,rós fughét,
arruffata,sparpajùla,
arruffone,sanfù,
arrugginito,rözenét,
arso,àrs,
"artemisia, canapaccia",èrba casotéra,botanica
"artemisia, canapaccia",ërbalègn,botanica
artigliato,raspàt,
artiglio,sgràfa,
arzigogolo,argalìf,
arzinca (tenaglia lunga  per lavorazione del ferro rovente),gavàda,attrezzo
"ascarolo, rete",ascaröl,pesce-pesca
ascella,canèla,anatomia
ascella,sèa,anatomia
ascella,sèja,arcaico
ascensore,asënsör,
ascesso,bignù,malattia/male
ascia del bottaio,sàpa,attrezzo
ascia per carpentieri,sapèta,attrezzo
asciugamano,pandemà,arcaico
asciugamano,sügamà,
asciugapennini,sügapinì,
asciugare,motà,arcaico
asciugare,sügà,
asciutto,söt,
ascoltare,dà de mét,
ascoltare,dà sentùr,
"asfodelo, porraccio",pòr selvàdëch,botanica
asina,àsna,
asina,ciùca,
asinaccio,asnù,
asinata,asnàda,
asinello,asnì,
asino,àsën,zoologia
asino,canarì de la Mèla,scherzo
asino,ciùcio,zoologia
asino,somèl,arcaico
asma,mancafiàt,
asola,asèta,arcaico
asola,büzèl,
asola,büzèt,
asola,maèta,
asola,öcièl,
asola,öcièt,
asola,büs del butù,
asparago,spàrës,botanica
aspersorio,aspèrgës,arcaico
aspide,ìpera,rettile
aspide,lìpera,rettile
"aspo, guindolo",àspa,attrezzo
aspro,àghër,
assaggiare,tastà,
assaggiatore (assaggiava contenuto del pozzo nero per garantirne la genuinità),tastadùr,arcaico
assaporare,ciciulà,
asse con corteccia,codegòt,
asse dell'aratro dove sono fissate le lame,bür,
asse grossa,asù,
asse traversale della botte,zìna,
assegno,asègn,
assenzio,arsìnso,botanica
assenzio,asèns,botanica
assenzio,maìstër,botanica
assenzio,maistrì,botanica
assenzio,maistù,botanica
assenzio,mèstër,botanica
assenzio,mìstër,botanica
assenzio gentile,médëch,botanica
assenzio gentile,médech gròs,botanica
assicella,asezèla,
assicella,cantenèla,
assicurazione,sicürasiù,
assiolo,ciót,ornitologia
assiolo,sisöl,ornitologia
assiolo,sonclì,ornitologia
assito,taolàt,
assomigliare,sömeà,
assoncello,asonsèl,
